1,11.09,1101,KAB. SIMEULUE,11,11.09,11.09
2,11.10,1102,KAB. ACEH SINGKIL,11,11.10,11.1
3,11.01,1103,KAB. ACEH SELATAN,11,11.01,11.01
4,11.02,1104,KAB. ACEH TENGGARA,11,11.02,11.02
5,11.03,1105,KAB. ACEH TIMUR,11,11.03,11.03
6,11.04,1106,KAB. ACEH TENGAH,11,11.04,11.04
7,11.05,1107,KAB. ACEH BARAT,11,11.05,11.05
8,11.06,1108,KAB. ACEH BESAR,11,11.06,11.06
9,11.07,1109,KAB. PIDIE,11,11.07,11.07
10,11.11,1110,KAB. BIREUEN,11,11.11,11.11
11,11.08,1111,KAB. ACEH UTARA,11,11.08,11.08
12,11.12,1112,KAB. ACEH BARAT DAYA,11,11.12,11.12
13,11.13,1113,KAB. GAYO LUES,11,11.13,11.13
14,11.16,1114,KAB. ACEH TAMIANG,11,11.16,11.16
15,11.15,1115,KAB. NAGAN RAYA,11,11.15,11.15
16,11.14,1116,KAB. ACEH JAYA,11,11.14,11.14
17,11.17,1117,KAB. BENER MERIAH,11,11.17,11.17
18,11.18,1118,KAB. PIDIE JAYA,11,11.18,11.18
19,11.71,1171,KOTA BANDA ACEH,11,11.71,11.71
20,11.72,1172,KOTA SABANG,11,11.72,11.72
21,11.74,1173,KOTA LANGSA,11,11.74,11.74
22,11.73,1174,KOTA LHOKSEUMAWE,11,11.73,11.73
23,11.75,1175,KOTA SUBULUSSALAM,11,11.75,11.75
24,12.04,1201,KAB. NIAS,12,12.04,12.04
25,12.13,1202,KAB. MANDAILING NATAL,12,12.13,12.13
26,12.03,1203,KAB. TAPANULI SELATAN,12,12.03,12.03
27,12.01,1204,KAB. TAPANULI TENGAH,12,12.01,12.01
28,12.02,1205,KAB. TAPANULI UTARA,12,12.02,12.02
29,12.12,1206,KAB. TOBA SAMOSIR,12,12.12,12.12
30,12.10,1207,KAB. LABUHANBATU,12,12.10,12.1
31,12.09,1208,KAB. ASAHAN,12,12.09,12.09
32,12.08,1209,KAB. SIMALUNGUN,12,12.08,12.08
33,12.11,1210,KAB. DAIRI,12,12.11,12.11
34,12.06,1211,KAB. KARO,12,12.06,12.06
35,12.07,1212,KAB. DELI SERDANG,12,12.07,12.07
36,12.05,1213,KAB. LANGKAT,12,12.05,12.05
37,12.14,1214,KAB. NIAS SELATAN,12,12.14,12.14
38,12.16,1215,KAB. HUMBANG HASUNDUTAN,12,12.16,12.16
39,12.15,1216,KAB. PAKPAK BHARAT,12,12.15,12.15
40,12.17,1217,KAB. SAMOSIR,12,12.17,12.17
41,12.18,1218,KAB. SERDANG BEDAGAI,12,12.18,12.18
42,12.19,1219,KAB. BATU BARA,12,12.19,12.19
43,12.20,1220,KAB. PADANG LAWAS UTARA,12,12.20,12.2
44,12.21,1221,KAB. PADANG LAWAS,12,12.21,12.21
45,12.22,1222,KAB. LABUHANBATU SELATAN,12,12.22,12.22
46,12.23,1223,KAB. LABUHANBATU UTARA,12,12.23,12.23
47,12.24,1224,KAB. NIAS UTARA,12,12.24,12.24
48,12.25,1225,KAB. NIAS BARAT,12,12.25,12.25
49,12.73,1271,KOTA SIBOLGA,12,12.73,12.73
50,12.74,1272,KOTA TANJUNG BALAI,12,12.74,12.74
51,12.72,1273,KOTA PEMATANG SIANTAR,12,12.72,12.72
52,12.76,1274,KOTA TEBING TINGGI,12,12.76,12.76
53,12.71,1275,KOTA MEDAN,12,12.71,12.71
54,12.75,1276,KOTA BINJAI,12,12.75,12.75
55,12.77,1277,KOTA PADANGSIDIMPUAN,12,12.77,12.77
56,12.78,1278,KOTA GUNUNGSITOLI,12,12.78,12.78
57,13.09,1301,KAB. KEPULAUAN MENTAWAI,13,13.09,13.09
58,13.01,1302,KAB. PESISIR SELATAN,13,13.01,13.01
59,13.02,1303,KAB. SOLOK,13,13.02,13.02
60,13.03,1304,KAB. SIJUNJUNG,13,13.03,13.03
61,13.04,1305,KAB. TANAH DATAR,13,13.04,13.04
62,13.05,1306,KAB. PADANG PARIAMAN,13,13.05,13.05
63,13.06,1307,KAB. AGAM,13,13.06,13.06
64,13.07,1308,KAB. LIMA PULUH KOTA,13,13.07,13.07
65,13.08,1309,KAB. PASAMAN,13,13.08,13.08
66,13.11,1310,KAB. SOLOK SELATAN,13,13.11,13.11
67,13.10,1311,KAB. DHARMASRAYA,13,13.10,13.1
68,13.12,1312,KAB. PASAMAN BARAT,13,13.12,13.12
69,13.71,1371,KOTA PADANG,13,13.71,13.71
70,13.72,1372,KOTA SOLOK,13,13.72,13.72
71,13.73,1373,KOTA SAWAHLUNTO,13,13.73,13.73
72,13.74,1374,KOTA PADANG PANJANG,13,13.74,13.74
73,13.75,1375,KOTA BUKITTINGGI,13,13.75,13.75
74,13.76,1376,KOTA PAYAKUMBUH,13,13.76,13.76
75,13.77,1377,KOTA PARIAMAN,13,13.77,13.77
76,14.09,1401,KAB. KUANTAN SINGINGI,14,14.09,14.09
77,14.02,1402,KAB. INDRAGIRI HULU,14,14.02,14.02
78,14.04,1403,KAB. INDRAGIRI HILIR,14,14.04,14.04
79,14.05,1404,KAB.  PELALAWAN,14,14.05,14.05
80,14.08,1405,KAB.  SIAK,14,14.08,14.08
81,14.01,1406,KAB. KAMPAR,14,14.01,14.01
82,14.06,1407,KAB.  ROKAN HULU,14,14.06,14.06
83,14.03,1408,KAB. BENGKALIS,14,14.03,14.03
84,14.07,1409,KAB.  ROKAN HILIR,14,14.07,14.07
85,14.10,1410,KAB. KEPULAUAN MERANTI,14,14.10,14.1
86,14.71,1471,KOTA PEKANBARU,14,14.71,14.71
87,14.72,1473,KOTA DUMAI,14,14.72,14.72
88,15.01,1501,KAB.  KERINCI,15,15.01,15.01
89,15.02,1502,KAB.  MERANGIN,15,15.02,15.02
90,15.03,1503,KAB. SAROLANGUN,15,15.03,15.03
91,15.04,1504,KAB. BATANGHARI,15,15.04,15.04
92,15.05,1505,KAB.  MUARO JAMBI,15,15.05,15.05
93,15.07,1506,KAB. TANJUNG JABUNG TIMUR,15,15.07,15.07
94,15.06,1507,KAB. TANJUNG JABUNG BARAT,15,15.06,15.06
95,15.09,1508,KAB. TEBO,15,15.09,15.09
96,15.08,1509,KAB. BUNGO,15,15.08,15.08
97,15.71,1571,KOTA JAMBI,15,15.71,15.71
98,15.72,1572,KOTA SUNGAI PENUH,15,15.72,15.72
99,16.01,1601,KAB. OGAN KOMERING ULU,16,16.01,16.01
100,16.02,1602,KAB. OGAN KOMERING ILIR,16,16.02,16.02
101,16.03,1603,KAB. MUARA ENIM,16,16.03,16.03
102,16.04,1604,KAB. LAHAT,16,16.04,16.04
103,16.05,1605,KAB. MUSI RAWAS,16,16.05,16.05
104,16.06,1606,KAB. MUSI BANYUASIN,16,16.06,16.06
105,16.07,1607,KAB. BANYUASIN,16,16.07,16.07
106,16.09,1608,KAB. OGAN KOMERING ULU SELATAN,16,16.09,16.09
107,16.08,1609,KAB. OGAN KOMERING ULU TIMUR,16,16.08,16.08
108,16.10,1610,KAB. OGAN ILIR,16,16.10,16.1
109,16.11,1611,KAB. EMPAT LAWANG,16,16.11,16.11
110,16.12,1612,KAB. PENUKAL ABAB LEMATANG ILIR,16,16.12,16.12
111,16.13,1613,KAB. MUSI RAWAS UTARA,16,16.13,16.13
112,16.71,1671,KOTA PALEMBANG,16,16.71,16.71
113,16.74,1672,KOTA PRABUMULIH,16,16.74,16.74
